n,x,y,z,w,gap,spread
39001,110,104,103,74,11,36
39101,105,102,94,94,6,11
39201,104,104,100,87,5,17
39301,105,104,102,84,5,21
39401,108,103,102,82,8,26
39501,104,102,100,91,4,13
39601,108,107,102,78,8,30
39701,108,106,105,76,8,32
39801,100,100,100,99,0,1
39901,106,101,100,92,6,14
40001,107,102,102,88,6,19
40101,106,106,102,85,5,21
40201,101,100,100,100,0,1
40301,108,100,99,94,7,14
40401,105,104,104,88,4,17
40501,108,108,98,87,7,21
40601,109,108,100,84,8,25
40701,106,104,100,93,5,13
40801,108,106,99,90,7,18
40901,108,105,104,86,6,22
41001,110,106,103,84,8,26
41101,106,106,98,95,4,11
41201,108,106,101,90,6,18
41301,108,108,102,87,6,21
41401,112,104,104,85,10,27
41501,106,105,102,94,4,12
41601,107,106,104,90,5,17
41701,112,106,100,89,9,23
41801,112,108,108,77,9,35
41901,106,106,102,95,3,11
42001,110,106,101,92,7,18
42101,110,110,99,90,7,20
42201,112,106,105,86,9,26
42301,109,104,100,98,6,11
42401,108,108,103,92,5,16
42501,110,108,104,89,6,21
42601,114,111,110,72,10,42
42701,108,106,100,99,4,9
42801,110,106,104,93,6,17
42901,111,108,104,90,7,21
43001,114,106,105,88,10,26
43101,106,106,105,98,2,8
43201,110,107,104,94,6,16
43301,113,108,102,92,8,21
43401,111,110,106,88,6,23
43501,107,106,104,100,2,7
43601,110,109,102,96,5,14
43701,111,110,104,92,6,19
43801,112,110,106,89,7,23
43901,106,106,105,102,1,4
44001,110,107,106,96,5,14
44101,112,112,98,97,6,15
44201,112,111,106,90,6,22
44301,116,112,101,90,10,26
44401,108,108,108,97,2,11
44501,114,108,104,95,8,19
44601,114,113,100,94,8,20
44701,114,114,103,90,8,24
44801,110,108,106,99,4,11
44901,112,112,102,97,6,15
45001,112,112,107,92,5,20
45101,114,113,106,90,7,24
45201,110,108,106,101,3,9
45301,111,110,108,96,4,15
45401,112,112,108,93,5,19
45501,115,114,104,92,8,23
45601,108,108,108,103,1,5
45701,113,108,108,98,6,15
45801,112,111,110,94,4,18
45901,116,110,109,92,8,24
46001,116,114,107,90,8,26
46101,110,110,110,99,2,11
46201,116,110,106,97,8,19
46301,116,115,102,96,8,20
46401,116,115,114,82,8,34
46501,110,110,110,101,2,9
46601,114,114,103,100,6,14
46701,114,113,110,94,5,20
46801,118,115,104,94,9,24
46901,111,110,108,104,2,7
47001,114,113,106,100,5,14
47101,115,114,108,96,6,19
47201,116,114,110,93,7,23
47301,118,114,110,91,9,27
47401,115,112,104,104,6,11
47501,114,114,110,97,5,17
47601,115,114,112,94,5,21
47701,118,113,112,92,8,26
47801,114,112,106,105,4,9
47901,116,112,110,99,6,17
48001,117,114,110,96,7,21
48101,120,112,111,94,10,26
48201,112,111,110,106,2,6
48301,116,112,110,101,6,15
48401,120,110,110,99,9,21
48501,120,116,106,97,9,23
48601,116,116,115,92,5,24
48701,114,114,110,103,3,11
48801,118,114,109,100,7,18
48901,118,118,107,98,7,20
49001,120,114,113,94,9,26
49101,114,113,110,106,3,8
49201,118,115,106,104,7,14
49301,120,119,114,88,8,32
49401,118,116,114,95,6,23
49501,120,116,114,93,8,27
49601,116,116,108,105,4,11
49701,118,116,111,100,6,18
49801,118,118,112,97,6,21
49901,122,114,114,95,10,27
50001,115,114,112,106,3,9
50101,121,112,110,104,9,17
50201,120,116,112,99,7,21
50301,120,117,114,96,7,24
50401,113,112,112,112,0,1
50501,120,112,111,106,7,14
50601,117,116,116,100,4,17
50701,120,120,110,99,7,21
50801,121,120,112,96,8,25
50901,118,113,112,108,5,10
51001,118,118,112,103,5,15
51101,120,120,110,101,6,19
51201,122,122,117,88,8,34
51301,124,122,121,80,10,44
51401,118,116,114,105,4,13
51501,123,116,110,104,9,19
51601,124,116,113,100,10,24
51701,120,119,118,96,6,24
51801,116,116,115,108,2,8
51901,120,117,114,104,6,16
52001,123,118,112,102,8,21
52101,121,120,116,98,6,23
52201,123,120,116,96,8,27
52301,120,116,114,107,5,13
52401,121,120,112,104,6,17
52501,122,119,116,100,7,22
52601,126,122,105,104,11,22
52701,117,116,116,110,2,7
52801,122,116,115,106,7,16
52901,121,120,116,102,5,19
53001,120,120,120,99,4,21
53101,122,122,118,97,6,25
53201,118,118,117,108,2,10
53301,120,119,118,104,4,16
53401,120,120,120,101,4,19
53501,124,120,118,99,8,25
53601,118,116,115,114,2,4
53701,121,120,114,108,5,13
53801,123,120,116,104,7,19
53901,124,120,118,101,7,23
54001,126,120,118,99,9,27
54101,120,118,116,111,3,9
54201,121,120,118,106,4,15
54301,122,122,118,103,5,19
54401,125,124,114,102,8,23
54501,123,122,122,98,6,25
54601,122,119,116,110,5,12
54701,124,120,117,106,7,18
54801,126,122,115,104,8,22
54901,124,122,121,100,6,24
55001,120,117,116,116,2,4
55101,123,122,112,112,5,11
55201,124,120,120,105,6,19
55301,123,122,122,102,5,21
55401,125,124,120,100,7,25
55501,122,118,118,113,4,9
55601,123,122,118,108,5,15
55701,124,124,118,105,5,19
55801,128,122,118,103,9,25
55901,126,125,120,100,7,26
56001,122,122,117,112,3,10
56101,122,122,122,107,3,15
56201,126,124,118,105,7,21
56301,127,122,122,102,8,25
56401,128,124,121,100,9,28
56501,125,122,114,114,6,11
56601,124,124,120,107,5,17
56701,125,124,122,104,5,21
56801,128,123,122,102,8,26
56901,122,120,119,116,2,6
57001,124,122,121,110,4,14
57101,126,124,120,107,6,19
57201,126,125,122,104,6,22
57301,128,128,118,103,8,25
57401,124,120,120,115,4,9
57501,125,124,120,110,5,15
57601,126,126,120,107,5,19
57701,130,124,120,105,9,25
57801,128,127,122,102,7,26
57901,124,123,120,114,3,10
58001,126,125,120,110,5,16
58101,128,127,118,108,7,20
58201,128,125,124,104,7,24
58301,128,128,123,102,7,26
58401,126,123,120,114,5,12
58501,128,124,121,110,7,18
58601,130,126,119,108,8,22
58701,128,126,125,104,6,24
58801,131,130,118,104,9,27
58901,126,126,118,115,4,11
59001,128,126,121,110,6,18
59101,128,128,122,107,6,21
59201,132,124,124,105,10,27
59301,124,122,121,120,2,4
59401,127,126,120,114,5,13
59501,129,126,122,110,7,19
59601,130,126,124,107,7,23
59701,132,126,124,105,9,27
59801,125,124,120,120,2,5
59901,130,124,120,115,7,15
60001,130,125,124,110,7,20
60101,130,126,126,107,7,23
60201,130,130,124,105,7,25
60301,125,124,124,118,2,7
60401,130,124,123,114,7,16
60501,129,128,124,110,6,19
60601,128,128,128,107,4,21
60701,130,130,126,105,6,25
60801,126,125,124,118,2,8
60901,130,126,123,114,6,16
61001,129,128,126,110,5,19
61101,131,130,124,108,7,23
61201,133,130,124,106,9,27
61301,126,126,125,118,2,8
61401,130,127,124,114,6,16
61501,133,128,122,112,9,21
61601,131,130,126,108,6,23
61701,133,130,126,106,8,27
61801,129,126,122,120,4,9
61901,130,127,126,114,5,16
62001,134,126,125,112,9,22
62101,134,131,122,110,9,24
62201,132,130,129,106,7,26
62301,130,125,124,120,5,10
62401,130,130,124,115,5,15
62501,132,132,122,113,6,19
62601,135,130,124,110,9,25
