# Four-square balance gap -- per-n companion table.
# Every n = x^2 + y^2 + z^2 + w^2 with x >= y >= z >= w >= 0 (Lagrange).
# (x,y,z,w) is the most balanced such decomposition (minimal largest part x).
# gap = x - ceil(sqrt(n/4)) = g(n); spread = x - w (context only).
#   Check any row by hand: x*x + y*y + z*z + w*w = n and gap = x - ceil(sqrt(n/4)).
# is_record = 1 where gap exceeds every smaller n (running maximum);
#   best_so_far is that running maximum; record_index counts the records 1,2,3,...
# Illustrative companion to the gap-record-location sequence; generated by
#   src/gap_table.py (engine src/foursquare.py, 'min' mode).
n,x,y,z,w,gap,best_so_far,is_record,record_index,spread
239,10,9,7,3,2,4,0,,7
240,10,10,6,2,2,4,0,,8
241,8,8,8,7,0,4,0,,1
242,9,9,8,4,1,4,0,,5
243,9,8,7,7,1,4,0,,2
244,9,9,9,1,1,4,0,,8
245,9,8,8,6,1,4,0,,3
246,10,9,7,4,2,4,0,,6
247,9,9,7,6,1,4,0,,3
248,12,8,6,2,4,4,0,,10
249,10,8,7,6,2,4,0,,4
250,10,10,5,5,2,4,0,,5
251,9,9,8,5,1,4,0,,4
252,9,9,9,3,1,4,0,,6
253,10,8,8,5,2,4,0,,5
254,10,9,8,3,2,4,0,,7
255,10,9,7,5,2,4,0,,5
256,8,8,8,8,0,4,0,,0
257,11,8,6,6,2,4,0,,5
258,9,8,8,7,0,4,0,,2
259,9,9,9,4,0,4,0,,5
260,9,9,7,7,0,4,0,,2
261,10,9,8,4,1,4,0,,6
262,9,9,8,6,0,4,0,,3
263,10,9,9,1,1,4,0,,9
264,10,8,8,6,1,4,0,,4
265,10,10,7,4,1,4,0,,6
266,10,9,7,6,1,4,0,,4
267,11,9,7,4,2,4,0,,7
268,9,9,9,5,0,4,0,,4
269,12,8,6,5,3,4,0,,7
270,10,9,8,5,1,4,0,,5
271,10,9,9,3,1,4,0,,7
272,10,10,6,6,1,4,0,,4
273,9,8,8,8,0,4,0,,1
274,10,10,7,5,1,4,0,,5
275,9,9,8,7,0,4,0,,2
276,11,9,7,5,2,4,0,,6
277,10,8,8,7,1,4,0,,3
278,10,9,9,4,1,4,0,,6
279,9,9,9,6,0,4,0,,3
280,10,10,8,4,1,4,0,,6
281,10,9,8,6,1,4,0,,4
282,10,10,9,1,1,4,0,,9
283,11,8,7,7,2,4,0,,4
284,11,9,9,1,2,4,0,,10
285,10,10,7,6,1,4,0,,4
286,11,10,7,4,2,4,0,,7
287,10,9,9,5,1,4,0,,5
288,12,8,8,4,3,4,0,,8
289,10,10,8,5,1,4,0,,5
290,9,9,8,8,0,4,0,,1
291,11,9,8,5,2,4,0,,6
292,9,9,9,7,0,4,0,,2
293,11,10,6,6,2,4,0,,5
294,10,9,8,7,1,4,0,,3
295,11,10,7,5,2,4,0,,6
296,12,10,6,4,3,4,0,,8
297,10,10,9,4,1,4,0,,6
298,10,9,9,6,1,4,0,,4
299,11,9,9,4,2,4,0,,7
300,10,10,8,6,1,4,0,,4
301,10,10,10,1,1,4,0,,9
302,11,9,8,6,2,4,0,,5
303,11,10,9,1,2,4,0,,10
304,10,10,10,2,1,4,0,,8
305,12,9,8,4,3,4,0,,8
306,10,10,9,5,1,4,0,,5
307,9,9,9,8,0,4,0,,1
308,11,9,9,5,2,4,0,,6
309,10,9,8,8,1,4,0,,2
310,11,10,8,5,2,4,0,,6
311,10,9,9,7,1,4,0,,3
312,12,10,8,2,3,4,0,,10
313,10,10,8,7,1,4,0,,3
314,11,11,6,6,2,4,0,,5
315,11,9,8,7,2,4,0,,4
316,10,10,10,4,1,4,0,,6
317,10,10,9,6,1,4,0,,4
318,11,10,9,4,2,4,0,,7
319,11,9,9,6,2,4,0,,5
320,12,12,4,4,3,4,0,,8
321,11,10,8,6,2,4,0,,5
322,11,10,10,1,2,4,0,,10
323,11,11,9,0,2,4,0,,11
324,9,9,9,9,0,4,0,,0
325,10,10,10,5,0,4,0,,5
326,10,9,9,8,0,4,0,,2
327,11,10,9,5,1,4,0,,6
328,10,10,8,8,0,4,0,,2
329,12,10,7,6,2,4,0,,6
330,10,10,9,7,0,4,0,,3
331,11,11,8,5,1,4,0,,6
332,11,9,9,7,1,4,0,,4
333,12,10,8,5,2,4,0,,7
334,11,10,8,7,1,4,0,,4
335,13,9,7,6,3,4,0,,7
336,10,10,10,6,0,4,0,,4
337,11,10,10,4,1,4,0,,7
338,11,10,9,6,1,4,0,,5
339,11,11,9,4,1,4,0,,7
340,11,11,7,7,1,4,0,,4
341,12,10,9,4,2,4,0,,8
342,11,11,8,6,1,4,0,,5
343,10,9,9,9,0,4,0,,1
344,12,10,8,6,2,4,0,,6
345,10,10,9,8,0,4,0,,2
346,11,10,10,5,1,4,0,,6
347,11,9,9,8,1,4,0,,3
348,11,11,9,5,1,4,0,,6
349,10,10,10,7,0,4,0,,3
350,12,10,9,5,2,4,0,,7
351,11,10,9,7,1,4,0,,4
352,12,12,8,0,2,4,0,,12
353,12,9,8,8,2,4,0,,4
354,12,11,8,5,2,4,0,,7
355,11,11,8,7,1,4,0,,4
356,12,12,8,2,2,4,0,,10
357,11,10,10,6,1,4,0,,5
358,11,11,10,4,1,4,0,,7
359,11,11,9,6,1,4,0,,5
360,12,10,10,4,2,4,0,,8
361,12,10,9,6,2,4,0,,6
362,10,10,9,9,0,4,0,,1
363,11,11,11,0,1,4,0,,11
364,10,10,10,8,0,4,0,,2
365,12,11,8,6,2,4,0,,6
366,11,10,9,8,1,4,0,,3
367,11,11,10,5,1,4,0,,6
368,12,12,8,4,2,4,0,,8
369,12,10,10,5,2,4,0,,7
370,11,10,10,7,1,4,0,,4
371,12,11,9,5,2,4,0,,7
372,11,11,9,7,1,4,0,,4
373,12,12,7,6,2,4,0,,6
374,12,10,9,7,2,4,0,,5
375,13,10,9,5,3,4,0,,8
376,14,10,8,4,4,4,0,,10
377,12,12,8,5,2,4,0,,7
378,11,11,10,6,1,4,0,,5
379,11,11,11,4,1,4,0,,7
380,12,10,10,6,2,4,0,,6
381,10,10,10,9,0,4,0,,1
382,12,11,9,6,2,4,0,,6
383,11,10,9,9,1,4,0,,2
384,16,8,8,0,6,6,1,6,16
385,11,10,10,8,1,6,0,,3
386,12,11,11,0,2,6,0,,12
387,11,11,9,8,1,6,0,,3
388,11,11,11,5,1,6,0,,6
389,12,10,9,8,2,6,0,,4
390,12,11,10,5,2,6,0,,7
391,11,11,10,7,1,6,0,,4
392,12,12,10,2,2,6,0,,10
393,12,10,10,7,2,6,0,,5
394,12,12,9,5,2,6,0,,7
395,12,11,9,7,2,6,0,,5
396,13,11,9,5,3,6,0,,8
397,12,12,10,3,2,6,0,,9
398,13,12,7,6,3,6,0,,7
399,11,11,11,6,1,6,0,,5
400,10,10,10,10,0,6,0,,0
401,12,11,10,6,1,6,0,,6
402,11,10,10,9,0,6,0,,2
403,13,11,8,7,2,6,0,,6
404,11,11,9,9,0,6,0,,2
405,12,12,9,6,1,6,0,,6
406,11,11,10,8,0,6,0,,3
407,13,11,9,6,2,6,0,,7
408,12,10,10,8,1,6,0,,4
409,12,12,11,0,1,6,0,,12
410,12,11,9,8,1,6,0,,4
411,12,11,11,5,1,6,0,,7
412,11,11,11,7,0,6,0,,4
413,12,12,10,5,1,6,0,,7
414,12,11,10,7,1,6,0,,5
415,13,11,10,5,2,6,0,,8
416,12,12,8,8,1,6,0,,4
417,13,12,10,2,2,6,0,,11
418,12,12,9,7,1,6,0,,5
419,13,12,9,5,2,6,0,,8
420,13,11,9,7,2,6,0,,6
421,11,10,10,10,0,6,0,,1
422,12,11,11,6,1,6,0,,6
423,11,11,10,9,0,6,0,,2
424,12,12,10,6,1,6,0,,6
425,12,10,10,9,1,6,0,,3
426,13,11,10,6,2,6,0,,7
427,11,11,11,8,0,6,0,,3
428,13,13,9,3,2,6,0,,10
429,12,11,10,8,1,6,0,,4
430,13,12,9,6,2,6,0,,7
431,13,10,9,9,2,6,0,,4
432,12,12,12,0,1,6,0,,12
433,12,12,9,8,1,6,0,,4
434,12,12,11,5,1,6,0,,7
435,12,11,11,7,1,6,0,,5
436,12,12,12,2,1,6,0,,10
437,12,12,10,7,1,6,0,,5
438,13,12,10,5,2,6,0,,8
439,13,11,10,7,2,6,0,,6
440,14,12,8,6,3,6,0,,8
441,12,12,12,3,1,6,0,,9
442,11,11,10,10,0,6,0,,1
443,13,12,9,7,2,6,0,,6
444,11,11,11,9,0,6,0,,2
445,12,12,11,6,1,6,0,,6
446,12,11,10,9,1,6,0,,3
447,13,11,11,6,2,6,0,,7
448,12,12,12,4,1,6,0,,8
449,13,12,10,6,2,6,0,,7
450,12,11,11,8,1,6,0,,4
451,13,13,8,7,2,6,0,,6
452,12,12,10,8,1,6,0,,4
453,14,11,10,6,3,6,0,,8
454,13,11,10,8,2,6,0,,5
455,13,13,9,6,2,6,0,,7
456,14,12,10,4,3,6,0,,10
457,12,12,12,5,1,6,0,,7
458,12,12,11,7,1,6,0,,5
459,13,12,11,5,2,6,0,,8
460,13,11,11,7,2,6,0,,6
461,13,12,12,2,2,6,0,,11
462,13,12,10,7,2,6,0,,6
463,11,11,11,10,0,6,0,,1
464,14,14,6,6,3,6,0,,8
465,12,11,10,10,1,6,0,,2
466,13,12,12,3,2,6,0,,10
467,12,11,11,9,1,6,0,,3
468,12,12,12,6,1,6,0,,6
469,12,12,10,9,1,6,0,,3
470,13,12,11,6,2,6,0,,7
471,13,11,10,9,2,6,0,,4
472,14,14,8,4,3,6,0,,10
473,12,12,11,8,1,6,0,,4
474,13,13,10,6,2,6,0,,7
475,13,11,11,8,2,6,0,,5
476,14,12,10,6,3,6,0,,8
477,13,12,10,8,2,6,0,,5
478,14,13,8,7,3,6,0,,7
479,14,11,9,9,3,6,0,,5
480,16,12,8,4,5,6,0,,12
481,12,12,12,7,1,6,0,,5
482,13,12,12,5,2,6,0,,8
483,13,12,11,7,2,6,0,,6
484,11,11,11,11,0,6,0,,0
485,14,12,9,8,2,6,0,,6
486,12,11,11,10,0,6,0,,2
487,13,13,10,7,1,6,0,,6
488,12,12,10,10,0,6,0,,2
489,14,12,10,7,2,6,0,,7
490,12,12,11,9,0,6,0,,3
491,13,13,12,3,1,6,0,,10
492,13,11,11,9,1,6,0,,4
493,13,12,12,6,1,6,0,,7
494,13,12,10,9,1,6,0,,4
495,13,13,11,6,1,6,0,,7
496,12,12,12,8,0,6,0,,4
497,14,12,11,6,2,6,0,,8
498,13,12,11,8,1,6,0,,5
499,15,12,9,7,3,6,0,,8
500,13,13,9,9,1,6,0,,4
501,14,13,10,6,2,6,0,,8
502,13,13,10,8,1,6,0,,5
503,15,11,11,6,3,6,0,,9
504,14,12,10,8,2,6,0,,6
505,14,14,8,7,2,6,0,,7
506,13,12,12,7,1,6,0,,6
507,12,11,11,11,0,6,0,,1
508,13,13,11,7,1,6,0,,6
509,12,12,11,10,0,6,0,,2
510,14,12,11,7,2,6,0,,7
511,13,11,11,10,1,6,0,,3
512,16,16,0,0,4,6,0,,16
513,12,12,12,9,0,6,0,,3
514,14,13,10,7,2,6,0,,7
515,13,12,11,9,1,6,0,,4
516,13,13,13,3,1,6,0,,10
517,14,11,10,10,2,6,0,,4
518,13,13,12,6,1,6,0,,7
519,13,13,10,9,1,6,0,,4
520,14,12,12,6,2,6,0,,8
521,13,12,12,8,1,6,0,,5
522,14,13,11,6,2,6,0,,8
523,13,13,11,8,1,6,0,,5
524,15,13,9,7,3,6,0,,8
525,14,12,11,8,2,6,0,,6
526,15,12,11,6,3,6,0,,9
527,14,13,9,9,2,6,0,,5
528,14,14,10,6,2,6,0,,8
529,14,13,10,8,2,6,0,,6
530,12,12,11,11,0,6,0,,1
531,13,13,12,7,1,6,0,,6
532,12,12,12,10,0,6,0,,2
533,14,12,12,7,2,6,0,,7
534,13,12,11,10,1,6,0,,3
535,14,13,11,7,2,6,0,,7
536,14,14,12,0,2,6,0,,14
537,14,14,9,8,2,6,0,,6
538,13,12,12,9,1,6,0,,4
539,15,12,11,7,3,6,0,,8
540,13,13,11,9,1,6,0,,4
541,14,14,10,7,2,6,0,,7
542,14,12,11,9,2,6,0,,5
543,13,13,13,6,1,6,0,,7
544,16,12,12,0,4,6,0,,16
545,14,13,12,6,2,6,0,,8
546,13,13,12,8,1,6,0,,5
547,15,13,12,3,3,6,0,,12
548,14,12,12,8,2,6,0,,6
549,14,14,11,6,2,6,0,,8
550,14,13,11,8,2,6,0,,6
551,15,13,11,6,3,6,0,,9
552,14,14,12,4,2,6,0,,10
553,12,12,12,11,0,6,0,,1
554,14,14,9,9,2,6,0,,5
555,13,12,11,11,1,6,0,,2
556,13,13,13,7,1,6,0,,6
557,13,12,12,10,1,6,0,,3
